P18YM_PB,PSINDER,VPH_NDACMM,VPH_SINCINT
406.0,210.0,201.0,69.0
357.0,161.0,124.0,51.0
52.0,41.0,16.0,8.0
104.0,48.0,42.0,11.0
28.0,10.0,22.0,12.0
53.0,33.0,20.0,7.0
0.0,0.0,0.0,0.0
7.0,3.0,3.0,0.0
108.0,59.0,53.0,16.0
14.0,9.0,8.0,0.0
15.0,7.0,9.0,3.0
35.0,13.0,18.0,5.0
31.0,12.0,19.0,4.0
14.0,5.0,9.0,3.0
37.0,13.0,23.0,3.0
46.0,9.0,18.0,5.0
40.0,14.0,14.0,3.0
16.0,7.0,6.0,4.0
14.0,16.0,8.0,3.0
116.0,45.0,46.0,14.0
142.0,84.0,60.0,17.0
96.0,72.0,53.0,8.0
128.0,58.0,50.0,15.0
111.0,36.0,57.0,22.0
105.0,69.0,52.0,18.0
126.0,74.0,49.0,21.0
109.0,63.0,55.0,11.0
94.0,54.0,47.0,16.0
85.0,25.0,51.0,14.0
115.0,21.0,34.0,16.0
115.0,9.0,41.0,14.0
101.0,17.0,45.0,15.0
3331.0,904.0,884.0,221.0
778.0,164.0,153.0,30.0
0.0,0.0,0.0,0.0
63.0,21.0,20.0,4.0
79.0,29.0,23.0,6.0
139.0,54.0,48.0,13.0
75.0,32.0,14.0,3.0
75.0,18.0,15.0,4.0
85.0,25.0,19.0,4.0
125.0,40.0,38.0,8.0
95.0,26.0,24.0,8.0
68.0,7.0,17.0,5.0
122.0,30.0,34.0,5.0
79.0,31.0,23.0,5.0
118.0,32.0,38.0,5.0
114.0,10.0,24.0,7.0
56.0,12.0,18.0,5.0
69.0,25.0,22.0,4.0
123.0,30.0,39.0,8.0
119.0,27.0,29.0,6.0
49.0,7.0,13.0,0.0
596.0,203.0,194.0,80.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
3232.0,1309.0,1151.0,432.0
19.0,12.0,10.0,7.0
10.0,17.0,3.0,3.0
306.0,123.0,125.0,52.0
48.0,17.0,12.0,10.0
196.0,54.0,74.0,23.0
472.0,210.0,197.0,92.0
179.0,103.0,66.0,23.0
297.0,120.0,82.0,22.0
40.0,20.0,24.0,9.0
514.0,140.0,151.0,38.0
230.0,86.0,69.0,21.0
83.0,47.0,31.0,20.0
162.0,72.0,49.0,19.0
18.0,25.0,14.0,5.0
212.0,81.0,85.0,38.0
61.0,20.0,17.0,4.0
78.0,30.0,22.0,6.0
48.0,14.0,30.0,15.0
40.0,40.0,21.0,6.0
24.0,12.0,10.0,4.0
8.0,7.0,6.0,0.0
19.0,11.0,5.0,0.0
26.0,4.0,3.0,0.0
1639.0,498.0,180.0,90.0
0.0,0.0,0.0,0.0
57.0,23.0,9.0,4.0
105.0,72.0,37.0,13.0
40.0,9.0,7.0,3.0
59.0,22.0,15.0,6.0
72.0,30.0,10.0,9.0
49.0,19.0,5.0,3.0
66.0,13.0,4.0,3.0
60.0,14.0,6.0,3.0
247.0,58.0,17.0,10.0
21.0,12.0,7.0,5.0
